,accident_index,location_easting_osgr,location_northing_osgr,longitude,latitude,police_force,accident_severity,number_of_vehicles,number_of_casualties,date,day_of_week,time,local_authority_district,local_authority_highway,first_road_class,first_road_number,road_type,speed_limit,junction_detail,junction_control,second_road_class,second_road_number,pedestrian_crossing-human_control,pedestrian_crossing-physical_facilities,light_conditions,weather_conditions,road_surface_conditions,special_conditions_at_site,carriageway_hazards,urban_or_rural_area,did_police_officer_attend_scene_of_accident,lsoa_of_accident_location,accident_severity_num,accident_severity_inv,date2,date_original,vehicle_reference_x,vehicle_type,towing_and_articulation,vehicle_manoeuvre,vehicle_location-restricted_lane,junction_location,skidding_and_overturning,hit_object_in_carriageway,vehicle_leaving_carriageway,hit_object_off_carriageway,1st_point_of_impact,was_vehicle_left_hand_drive?,journey_purpose_of_driver,sex_of_driver,age_of_driver,age_band_of_driver,engine_capacity_cc,propulsion_code,age_of_vehicle,driver_imd_decile,driver_home_area_type,vehicle_imd_decile,vehicle_reference_y,casualty_reference,casualty_class,sex_of_casualty,age_of_casualty,age_band_of_casualty,casualty_severity,pedestrian_location,pedestrian_movement,car_passenger,bus_or_coach_passenger,pedestrian_road_maintenance_worker,casualty_type,casualty_home_area_type,casualty_imd_decile,accident_year_x,accident_reference_x,local_authority_ons_district,pedestrian_crossing_human_control,pedestrian_crossing_physical_facilities,trunk_road_flag,accident_year_y,accident_reference_y,vehicle_direction_from,vehicle_direction_to,vehicle_location_restricted_lane,first_point_of_impact,vehicle_left_hand_drive,generic_make_model,accident_year,accident_reference,year,month,severity,hours
2,201501BS70004,524610.0,181080.0,-0.20559,51.51491,1,Slight,1,1,2015-12-01,Tuesday,18:08,Kensington and Chelsea,E09000020,4,415,6,30.0,2,4,6,0,0.0,1.0,4,2,2,0,0,1,1,E01002833,3,1,12/01/2015,12/01/2015,1,9,0,9,0.0,2,0,0,0,0,1.0,1.0,6,Male,30,26 - 35,1686,2,10,-1,1,-1.0,1,1,3,2,33,6,3,1,3,0,0,2,0,1,6,,,,,,,,,,,,,,,,,2015,12,1,18
10,201501BS70014,523850.0,181450.0,-0.216407,51.518402,1,Slight,2,1,2015-01-23,Friday,22:39,Kensington and Chelsea,E09000020,4,412,1,30.0,2,4,6,0,0.0,0.0,4,2,2,0,0,1,1,E01002909,3,1,23/01/2015,23/01/2015,1,9,0,18,0.0,8,2,10,0,0,4.0,1.0,6,Male,30,26 - 35,1461,2,11,-1,1,-1.0,1,1,1,1,30,6,3,0,0,0,0,0,9,1,3,,,,,,,,,,,,,,,,,2015,1,1,22
12,201501BS70016,526970.0,178510.0,-0.172522,51.491289,1,Slight,2,1,2015-01-21,Wednesday,18:05,Kensington and Chelsea,E09000020,3,308,6,30.0,3,4,6,0,0.0,0.0,4,1,1,0,0,1,1,E01002914,3,1,21/01/2015,21/01/2015,1,4,0,18,0.0,8,0,0,0,0,1.0,1.0,6,Female,29,26 - 35,124,1,8,-1,1,-1.0,2,1,1,1,31,6,3,0,0,0,0,0,1,1,2,,,,,,,,,,,,,,,,,2015,1,1,18
17,201501BS70022,526200.0,177720.0,-0.183889,51.484361,1,Slight,2,1,2015-01-25,Sunday,01:50,Kensington and Chelsea,E09000020,3,308,6,30.0,0,-1,-1,0,0.0,5.0,4,1,1,0,0,1,1,E01002912,3,1,25/01/2015,25/01/2015,1,4,0,18,0.0,0,0,0,0,0,1.0,1.0,1,Male,29,26 - 35,125,1,5,-1,1,-1.0,1,1,1,1,29,6,3,0,0,0,0,0,4,1,3,,,,,,,,,,,,,,,,,2015,1,1,1
24,201501BS70033,526090.0,177600.0,-0.185515,51.483307,1,Slight,2,2,2015-01-30,Friday,01:46,Kensington and Chelsea,E09000020,3,3220,6,30.0,6,2,3,308,0.0,5.0,4,1,1,0,0,1,1,E01002912,3,1,30/01/2015,30/01/2015,1,8,0,18,0.0,8,0,0,0,0,3.0,1.0,1,Male,35,26 - 35,1998,2,3,-1,1,-1.0,1,1,1,1,35,6,3,0,0,0,0,0,8,1,2,,,,,,,,,,,,,,,,,2015,1,2,1
30,201501BS70039,526970.0,177510.0,-0.172881,51.482302,1,Slight,2,1,2015-01-31,Saturday,00:10,Kensington and Chelsea,E09000020,3,3212,6,30.0,0,-1,-1,0,0.0,0.0,4,1,1,0,0,1,1,E01002845,3,1,31/01/2015,31/01/2015,1,8,0,12,0.0,0,0,0,0,0,3.0,1.0,1,Male,29,26 - 35,1797,8,5,-1,1,-1.0,1,1,1,1,29,6,3,0,0,0,0,0,8,1,6,,,,,,,,,,,,,,,,,2015,1,1,0
41,201501BS70051,524010.0,181580.0,-0.214056,51.519535,1,Slight,2,1,2015-04-02,Thursday,19:50,Kensington and Chelsea,E09000020,5,0,6,30.0,6,4,6,0,0.0,0.0,4,1,1,0,0,1,1,E01002909,3,1,04/02/2015,04/02/2015,1,2,0,18,0.0,2,0,0,0,0,3.0,1.0,1,Male,22,21 - 25,109,1,1,-1,1,-1.0,1,1,1,1,22,5,3,0,0,0,0,0,2,1,5,,,,,,,,,,,,,,,,,2015,4,1,19
44,201501BS70055,527920.0,179050.0,-0.15865,51.495928,1,Slight,2,1,2015-08-02,Sunday,23:05,Kensington and Chelsea,E09000020,3,3216,6,30.0,0,-1,-1,0,0.0,0.0,4,1,1,0,0,1,1,E01002863,3,1,08/02/2015,08/02/2015,1,9,0,18,0.0,0,0,0,0,0,1.0,1.0,6,Female,20,16 - 20,3498,1,1,-1,1,-1.0,1,1,2,2,20,4,3,0,0,1,0,0,9,-1,-1,,,,,,,,,,,,,,,,,2015,8,1,23
56,201501BS70070,524000.0,182090.0,-0.214021,51.524121,1,Slight,2,1,2015-02-14,Saturday,21:55,Kensington and Chelsea,E09000020,4,450,6,30.0,1,4,5,0,0.0,0.0,4,1,2,0,0,1,1,E01002905,3,1,14/02/2015,14/02/2015,1,9,0,18,0.0,8,0,0,0,0,4.0,1.0,6,Male,27,26 - 35,1364,1,6,-1,-1,-1.0,1,1,1,1,27,6,3,0,0,0,0,0,9,-1,-1,,,,,,,,,,,,,,,,,2015,2,1,21
69,201501BS70086,526510.0,178010.0,-0.179323,51.486898,1,Slight,1,1,2015-02-19,Thursday,22:05,Kensington and Chelsea,E09000020,3,308,6,30.0,6,2,5,0,0.0,5.0,4,2,2,0,0,1,1,E01002911,3,1,19/02/2015,19/02/2015,1,3,0,18,0.0,2,0,0,0,0,1.0,1.0,6,Male,22,21 - 25,125,1,5,-1,1,-1.0,1,1,1,1,22,5,3,0,0,0,0,0,3,1,2,,,,,,,,,,,,,,,,,2015,2,1,22
